date,category,name,ticker,units,nav_at_purchase,current_nav
21-01-2025,Ind_Stock,RELIANCE.NS,RELIANCE.NS,6,646.375,1484.1
01-05-2023,Ind_Stock,BHARTIARTL.NS,BHARTIARTL.NS,21,832.29,2080.1
14-05-2024,Ind_Stock,BHARTIARTL.NS,BHARTIARTL.NS,14,1295.5,2080.1
17-05-2024,Ind_Stock,BHARTIARTL.NS,BHARTIARTL.NS,23,1346,2080.1
23-09-2024,Ind_Stock,BHARTIARTL.NS,BHARTIARTL.NS,44,1740,2080.1
21-01-2025,Ind_Stock,BHARTIARTL.NS,BHARTIARTL.NS,2,1635.05,2080.1
01-05-2023,Ind_Stock,GSFC.NS,GSFC.NS,58,176.16,191.54
01-05-2023,Ind_Stock,EXCEL.NS,EXCEL.NS,19400,0.56,1.57
01-05-2023,Ind_Stock,ETERNAL.NS,ETERNAL.NS,215,66.23,333.7
14-05-2024,Ind_Stock,ETERNAL.NS,ETERNAL.NS,91,200.4,333.7
17-05-2024,Ind_Stock,ETERNAL.NS,ETERNAL.NS,105,194.9,333.7
30-10-2024,Ind_Stock,ETERNAL.NS,ETERNAL.NS,78,247,333.7
21-01-2025,Ind_Stock,ETERNAL.NS,ETERNAL.NS,11,212.45,333.7
01-05-2023,Ind_Stock,BCG.NS,BCG.NS,825,16.04,13.31
01-05-2023,Ind_Stock,TTKPRESTIG.NS,TTKPRESTIG.NS,15,743.87,646.95
01-05-2023,Ind_Stock,TAINWALCHM.NS,TAINWALCHM.NS,75,152.49,202.24
01-05-2023,Ind_Stock,JYOTHYLAB.NS,JYOTHYLAB.NS,25,209,317.65
01-05-2023,Ind_Stock,MAXESTATES.NS,MAXESTATES.NS,50,182.1,471.3
01-05-2023,Ind_Stock,SUNPHARMA.NS,SUNPHARMA.NS,11,972.91,1693.6
14-05-2024,Ind_Stock,SUNPHARMA.NS,SUNPHARMA.NS,12,1521.1,1693.6
17-05-2024,Ind_Stock,SUNPHARMA.NS,SUNPHARMA.NS,20,1531,1693.6
30-10-2024,Ind_Stock,SUNPHARMA.NS,SUNPHARMA.NS,42,1850,1693.6
21-01-2025,Ind_Stock,SUNPHARMA.NS,SUNPHARMA.NS,2,1790.05,1693.6
01-05-2023,Ind_Stock,DRREDDY.NS,DRREDDY.NS,20,915.8,1284.3
14-05-2024,Ind_Stock,DRREDDY.NS,DRREDDY.NS,15,1180.99,1284.3
17-05-2024,Ind_Stock,DRREDDY.NS,DRREDDY.NS,25,1162.99,1284.3
30-10-2024,Ind_Stock,DRREDDY.NS,DRREDDY.NS,31,1253,1284.3
21-01-2025,Ind_Stock,DRREDDY.NS,DRREDDY.NS,3,1300,1284.3
01-05-2023,Ind_Stock,CIPLA.NS,CIPLA.NS,18,958.28,1584
14-05-2024,Ind_Stock,CIPLA.NS,CIPLA.NS,13,1404.85,1584
17-05-2024,Ind_Stock,CIPLA.NS,CIPLA.NS,21,1416.8,1584
23-09-2024,Ind_Stock,CIPLA.NS,CIPLA.NS,47,1649,1584
01-05-2023,Ind_Stock,LAURUSLABS.NS,LAURUSLABS.NS,16,319.5,940.15
01-05-2023,Ind_Stock,NATCOPHARM.NS,NATCOPHARM.NS,24,579.04,825.05
01-05-2023,Ind_Stock,INFY.NS,INFY.NS,28,1272.93,1504.5
14-05-2024,Ind_Stock,INFY.NS,INFY.NS,13,1415,1504.5
17-05-2024,Ind_Stock,INFY.NS,INFY.NS,21,1442.8,1504.5
23-09-2024,Ind_Stock,INFY.NS,INFY.NS,41,1880,1504.5
21-01-2025,Ind_Stock,INFY.NS,INFY.NS,3,1816.3,1504.5
01-05-2023,Ind_Stock,TCS.NS,TCS.NS,12,3213.17,3084.9
14-05-2024,Ind_Stock,TCS.NS,TCS.NS,4,3906.45,3084.9
17-05-2024,Ind_Stock,TCS.NS,TCS.NS,8,3882.15,3084.9
23-09-2024,Ind_Stock,TCS.NS,TCS.NS,18,4263,3084.9
21-01-2025,Ind_Stock,TCS.NS,TCS.NS,1,4084.55,3084.9
01-05-2023,Ind_Stock,WIPRO.NS,WIPRO.NS,156,194,243.91
01-05-2023,Ind_Stock,HCLTECH.NS,HCLTECH.NS,7,1131.29,1533.5
17-05-2024,Ind_Stock,HCLTECH.NS,HCLTECH.NS,23,1345.28,1533.5
21-01-2025,Ind_Stock,HCLTECH.NS,HCLTECH.NS,1,1805.2,1533.5
